year,Bidoup,Chin Hills,Kim Hy,Kon Ka Kinh,Kirirom,Phou Khao Khouay RW,Mu Cang Chai RW,Mae Hong Son RW,Maingtha,Nam Nao,Pu Mat,Petchaburi,Pha Taem,Phu Kradung,Phu Toei,Quang Nam,Salaeng Luang,San Luang,Wat Chan,Wiang Haeng
1748,0.866,1.031,0.533,0.984,1.162,0.924,0.94,1.155,1.478,0.97759891878636,0.963,0.885061757313459,1.05640540192265,0.885,0.867,1.13,0.854,1.04440587634402,1,0.969913021141539
1749,0.879,1.058,0.23,0.973,0.985,0.978,0.824,0.96,1.075,0.938374338767287,1.052,1.06988692974824,0.845761284576436,0.719,1.092,1.012,0.84,1.07435713368484,1.248,1.05159600583025
1750,1.104,0.945,-1.041,1.089,1.301,1.081,0.855,1.237,1.255,0.931899743573387,0.963,0.992779276110982,1.09161133859828,0.754,0.7,1.078,1.027,1.10952451608323,1.174,0.997241785691646
1751,0.817,0.988,0.823,1.023,0.902,0.541,0.806,0.857,0.976,0.985387147262145,0.859,1.05053845828736,0.785945385658475,1.009,1.01,0.91,1.021,0.981203742350665,1.068,0.955409717231557
1752,0.973,1.063,0.211,1.042,0.351,0.738,0.862,1.147,1.092,0.931998800910685,0.912,1.00259799258299,0.767151193244711,1.058,1.175,0.958,1.016,0.985049401408505,1.044,1.03760365464844
1753,0.992,1.068,0.281,0.875,1.041,0.959,0.767,1.056,1.175,0.968875467941846,0.982,0.963841249850297,0.911802444511851,1.064,0.874,0.847,1.164,1.03907183671938,0.888,0.934835907793352
1754,1.034,0.968,-1.716,1.076,1.031,1.024,0.969,0.915,1.106,1.00760673247994,1.077,1.11965461194134,1.14782960352789,0.986,1.174,1.024,1.394,0.987463568709837,1.018,1.03354123112983
1755,0.878,0.997,0.556,0.732,1.023,0.958,0.894,1.051,0.879,0.933737084032955,1.069,0.918083275651227,0.882926166064932,0.804,0.858,0.795,1.325,1.09222834626029,1.042,0.959375433204827
1756,0.976,1.111,-0.356,0.859,0.984,1.248,1.047,0.796,0.824,1.04010110162171,1.149,0.921849509855983,1.10465348841864,1.088,0.979,1.041,1.18,0.969953586123166,0.953,1.01441351729203
1757,1.118,1.094,0.485,0.998,1.075,0.622,0.896,0.74,0.998,0.980953026728193,1.16,1.15510803905194,1.01127158712224,1.075,1.022,1.072,1.141,1.07956910100069,1.105,1.01365136140654
