year,month,Q
1986,1,56.415725486352
1986,2,24.8155855926276
1986,3,8.98802749647217
1986,4,15.0678450850745
1986,5,72.4900761449694
1986,6,103.934670486906
1986,7,172.292667500278
1986,8,298.511645412158
1986,9,348.776687143411
1986,10,144.766155434792
1986,11,143.713056191814
1986,12,153.532792516576
1987,1,106.748896196256
1987,2,39.4790921253236
1987,3,29.6200685012792
1987,4,14.1645272542988
1987,5,23.5439079632044
1987,6,86.0513812779276
1987,7,38.3970449556378
1987,8,554.528312110775
1987,9,421.353970894476
1987,10,204.488912058105
1987,11,163.797315758826
1987,12,121.173484528291
1988,1,42.3790658452692
1988,2,21.1030645925081
1988,3,7.68708886609399
1988,4,29.5338598698469
1988,5,190.90888226619
1988,6,482.73954365652
1988,7,229.447106785674
1988,8,244.888255059136
1988,9,206.080243604568
1988,10,196.079444359306
1988,11,200.081244219528
1988,12,150.233073564646
1989,1,49.0484826530056
1989,2,21.1223867917209
1989,3,14.6122984507211
1989,4,2.30023341105933
1989,5,48.1441622521815
1989,6,70.878741538976
1989,7,87.0100926793801
1989,8,93.7451683187185
1989,9,226.052494636151
1989,10,241.357607321344
1989,11,101.036729975404
1989,12,105.646141936805
1990,1,13.3983741186926
1990,2,12.6017269418258
1990,3,3.5623947042276
1990,4,7.84769215071783
1990,5,97.3972156546052
1990,6,104.143818686995
1990,7,63.2063384517388
1990,8,142.337243896352
1990,9,206.081347448486
1990,10,187.698793637251
1990,11,165.995801485877
1990,12,113.367807976178
1991,1,38.276069455421
1991,2,16.4973947198619
1991,3,39.1494625562991
1991,4,22.7942710811419
1991,5,18.433000395888
1991,6,57.1669271393363
1991,7,20.4996113451725
1991,8,323.875141220374
1991,9,410.932402640026
1991,10,140.385965141637
1991,11,152.764790255161
1991,12,109.974040456043
1992,1,35.4688790304027
1992,2,30.0961184842253
1992,3,10.3438945258688
1992,4,5.30952946181162
1992,5,3.98913674070272
1992,6,11.6839601214293
1992,7,70.9102943773382
1992,8,120.054886758205
1992,9,353.73667748651
1992,10,218.011225131826
1992,11,161.655720433858
1992,12,198.701269817035
1993,1,111.291389201523
1993,2,34.1828206961092
1993,3,24.9263366898549
1993,4,19.2099054619369
1993,5,58.5888883309784
1993,6,70.8243429983207
1993,7,85.5360320110927
1993,8,147.105961751973
1993,9,416.72245391637
1993,10,205.584139151178
1993,11,136.571726846867
1993,12,101.061120922701
1994,1,28.4182175630801
1994,2,11.4928912030427
1994,3,235.905497743884
1994,4,57.8640743447403
1994,5,139.324504734501
1994,6,204.85468537127
1994,7,224.332450085775
1994,8,682.383864707939
1994,9,616.873320259771
1994,10,162.550796423084
1994,11,125.75802974402
1994,12,118.148925917205
1995,1,39.8371123973259
1995,2,17.7045560330201
1995,3,17.5262695431141
1995,4,14.3666523748421
1995,5,57.7420279600861
