year,month,Q
1922,4,21.99280319
1922,5,42.28030642
1922,6,95.6
1922,7,329
1922,8,759
1922,9,893
1922,10,237
1922,11,156
1922,12,101.2824941
1923,1,75.87989238
1923,2,63.93353124
1923,3,62.54825489
1923,4,135
1923,5,161
1923,6,264
1923,7,486
1923,8,1228
1923,9,487
1923,10,219
1923,11,144
1923,12,119
1924,1,95.3
1924,2,84.1
1924,3,80.2
1924,4,81.6
1924,5,124
1924,6,258
1924,7,601
1924,8,1875
1924,9,570
1924,10,275
1924,11,97.4
1924,12,69.6
1925,1,44.7
1925,2,28.4
1925,3,24.2
1925,4,31.7
1925,5,41.3
1925,6,110
1925,7,329
1925,8,481
1925,9,380
1925,10,134
1925,11,70.6
1925,12,54.7
1926,1,45.8
1926,2,29
1926,3,26.8
1926,4,26.67314009
1926,5,45.06854573
1926,6,98.30869614
1926,7,232
1926,8,740
1926,9,694
1926,10,199
1926,11,161
1926,12,79.27876542
1927,1,53.71974019
1927,2,37.55512582
1927,3,32.39804102
1927,4,41.62643211
1927,5,83.847005
1927,6,204.6521651
1927,7,737
1927,8,996
1927,9,555
1927,10,521
1927,11,147.9915749
1927,12,81.44578483
1928,1,51.97448134
1928,2,33.13596866
1928,3,25.73961269
1928,4,28.54691349
1928,5,46.59790806
1928,6,98.41938803
1928,7,295.5549182
1928,8,604.0016463
1928,9,377
1928,10,152
1928,11,61.1
1928,12,67
1929,1,57.4
1929,2,33.96084757
1929,3,29.44206298
1929,4,37.92559036
1929,5,74.86878977
1929,6,185.371765
1929,7,576.2501306
1929,8,1367
1929,9,1163
1929,10,177
1929,11,32.5
1929,12,33.5
1930,1,26
1930,2,19.8
1930,3,19.2
1930,4,24.57824108
1930,5,51.08833836
1930,6,136.8933771
1930,7,446
1930,8,1390
1930,9,789.6325748
1930,10,279.799285
1930,11,120.9298462
1930,12,67.48168782
1931,1,42.99824293
1931,2,25.4840192
1931,3,19.07540154
1931,4,19.62125778
1931,5,34.65467431
1931,6,73.9704031
1931,7,210
1931,8,519
1931,9,601
1931,10,99.3
1931,11,48.2
1931,12,44.2
1932,1,42.8
1932,2,40.1
1932,3,42.8
1932,4,43.1
1932,5,45.9
1932,6,46
1932,7,497
1932,8,512
1932,9,592
1932,10,245
1932,11,61.2
1932,12,46.6
1933,1,45.5
1933,2,41.1
1933,3,45.5
1933,4,46.6
1933,5,70.5
1933,6,129
1933,7,728
1933,8,792
1933,9,572
1933,10,360
1933,11,182
1933,12,78.2
1934,1,34.1
1934,2,29
1934,3,32.1
1934,4,40.3
1934,5,50.8
1934,6,60
1934,7,268
1934,8,780
1934,9,671
1934,10,598
1934,11,163.0904254
1934,12,92.84514747
1935,1,61.83340177
1935,2,43.90483955
1935,3,37.38472665
1935,4,47.50046986
1935,5,98.90773067
1935,6,232.432598
1935,7,819
1935,8,832
1935,9,761
1935,10,496
1935,11,158.4488333
1935,12,89.33629962
1936,1,58.79654737
1936,2,40.58618456
1936,3,33.79491117
1936,4,41.65635054
1936,5,78.42014925
1936,6,178.3132725
1936,7,719
1936,8,521
1936,9,1139
1936,10,156
1936,11,94.2
1936,12,61.26956149
1937,1,42.65704837
1937,2,28.60445293
1937,3,25.06274037
1937,4,32.48327418
1937,5,63.48385303
1937,6,160.7935142
1937,7,521.9083268
1937,8,1098
1937,9,846.8664589
1937,10,320.3120284
1937,11,143.431849
1937,12,83.91543727
1938,1,56.94518622
1938,2,40.53352145
1938,3,35.2112872
1938,4,45.71916356
1938,5,97.19880984
1938,6,239.064903
1938,7,708.6035021
1938,8,1559
1938,9,883
1938,10,282
1938,11,143.9176715
1938,12,84.59592836
1939,1,57.68413563
1939,2,41.44510082
1939,3,36.27515591
1939,4,47.54389753
1939,5,104.7991575
1939,6,261.1898711
1939,7,1015
1939,8,1839
1939,9,316
1939,10,229.050121
1939,11,104.456307
1939,12,61.28689248
1940,1,40.63372048
1940,2,24.9792651
1940,3,20.08401373
1940,4,23.11715482
1940,5,42.12053184
1940,6,97.23725966
1940,7,316.1872706
1940,8,676.8230088
1940,9,421
1940,10,223.1534526
1940,11,113.9562966
1940,12,73.02444563
1941,1,52.97408427
1941,2,39.97830262
1941,3,37.44028984
1941,4,52.72226172
1941,5,142.2083808
1941,6,404.8644431
1941,7,1250.259934
1941,8,2269
1941,9,2647
1941,10,652.8537912
1941,11,212.2773164
1941,12,116.9787529
1942,1,76.47166996
1942,2,55.56614512
1942,3,46.75733906
1942,4,58.89324464
1942,5,103
1942,6,409
1942,7,1296
1942,8,2478
1942,9,929
1942,10,341.5968336
1942,11,133.2113637
1942,12,69.19429722
1943,1,40.85465897
1943,2,18.7
1943,3,12.3
1943,4,10.5
1943,5,15.2
1943,6,48.5
1943,7,496
1943,8,1032
1943,9,1081
1943,10,186
1943,11,87.6
1943,12,45.1
1944,1,25.2
1944,2,9.07
1944,3,3.77
1944,4,2.04
1944,5,9.68
1944,6,185
1944,7,526
1944,8,608
1944,9,523
1944,10,211
1944,11,192
1944,12,113
1945,1,59.8
1945,2,37.2
1945,3,30
1945,4,33.3
1945,5,125
1945,6,167
1945,7,491
1945,8,641
1945,9,686
1945,10,180
1945,11,86.3
1945,12,57.8
1946,1,46.5
1946,2,29.2
1946,3,22.3
1946,4,21.4
1946,5,54.2
1946,6,200
1946,7,358
1946,8,1295
1946,9,859
1946,10,260
1946,11,117
1946,12,70
