year,month,Q
1972,4,31.01997282
1972,5,148.8875395
1972,6,187.6629764
1972,7,172.8684628
1972,8,450.5
1972,9,574.16
1972,10,468.18
1972,11,111.58
1972,12,42.11
1973,1,20.55
1973,2,5.99
1973,3,2.57
1973,4,17.2
1973,5,9.44
1973,6,12.16
1973,7,3.59
1973,8,92.12
1973,9,185.09
1973,10,283.66
1973,11,155.41
1973,12,66.96
1974,1,13.66
1974,2,6.45
1974,3,10.19
1974,4,17.54
1974,5,31.27
1974,6,93.45
1974,7,102.62
1974,8,414.83
1974,9,798.89
1974,10,430.21
1974,11,116.4
1974,12,54.49
1975,1,25.48
1975,2,10.27
1975,3,10.37
1975,4,13.41
1975,5,105.81
1975,6,86.75
1975,7,41.58
1975,8,266.95
1975,9,488.39
1975,10,256.28
1975,11,447.4
1975,12,60.43
1976,1,70.71
1976,2,18.23
1976,3,15.82
1976,4,14.32
1976,5,17.26
1976,6,48.83
1976,7,95.8
1976,8,326.03
1976,9,669.95
1976,10,543.54
1976,11,198.18
1976,12,64.55
1977,1,31.36
1977,2,16.71
1977,3,13.97
1977,4,15.44
1977,5,27.77
1977,6,23.52
1977,7,20.4
1977,8,80.08
1977,9,250.17
1977,10,453.7
1977,11,245.43
1977,12,47.27
1978,1,46.92
1978,2,15.55
1978,3,11.82
1978,4,15.14
1978,5,15.3
1978,6,12.24
1978,7,14.25
1978,8,44.79
1978,9,593.05
1978,10,228.39
1978,11,161.89
1978,12,51.21
1979,1,17.97
1979,2,12.87
1979,3,10.04
1979,4,12.34
1979,5,55.68
1979,6,25.35
1979,7,279.31
1979,8,350.25
1979,9,445.61
1979,10,352.37
1979,11,53.76
1979,12,23.14
1980,1,16.72
1980,2,13.57
1980,3,9.68
1980,4,7.66
1980,5,42.94
1980,6,175.19
1980,7,30.79
1980,8,60.27
1980,9,107.68
1980,10,98.22
1980,11,19.92
1980,12,10.03
1981,1,6.12
1981,2,5.67
1981,3,12.81
1981,4,3.81
1981,5,16.1
1981,6,60.86
1981,7,54.56
1981,8,77.27
1981,9,453.24
1981,10,228.93
1981,11,64.26
1981,12,25.89
1982,1,10.08
1982,2,6.64
1982,3,5.7
1982,4,4.67
1982,5,70.83
1982,6,37.12
1982,7,254.98
1982,8,399.71
1982,9,200.29
1982,10,153.05
1982,11,111.3
1982,12,52.12
1983,1,19.88
1983,2,13.03
1983,3,10.41
1983,4,14.45
1983,5,23.88
1983,6,21.95
1983,7,10.07
1983,8,13.2
1983,9,110.54
1983,10,171.59
1983,11,33.37
1983,12,11.1
1984,1,9.09
1984,2,6.95
1984,3,5.1
1984,4,2.24
1984,5,1.98
1984,6,15.18
1984,7,2.18
1984,8,38.06
1984,9,264.89
1984,10,221.23
1984,11,142.71
1984,12,36.88
1985,1,12.24
1985,2,7.55
1985,3,5.04
1985,4,4.69
1985,5,14.68
1985,6,22.11
1985,7,11.03
