year,month,Q
1976,4,7.4
1976,5,59.11
1976,6,55.37
1976,7,24.81
1976,8,71.54
1976,9,424.92
1976,10,1009.24
1976,11,231.21
1976,12,47.52
1977,1,18.26
1977,2,8.01
1977,3,5.82
1977,4,10.72
1977,5,127.87
1977,6,194.23
1977,7,95.47
1977,8,192.07
1977,9,260.58
1977,10,227.23
1977,11,39.81
1977,12,22.76
1978,1,12.12
1978,2,3.55
1978,3,0.6
1978,4,0.48
1978,5,13.02
1978,6,51.9
1978,7,76.3
1978,8,226.37
1978,9,631.15
1978,10,1046.65
1978,11,322.44
1978,12,63.33
1979,1,17.38
1979,2,6.16
1979,3,1.68
1979,4,8.78
1979,5,74.58
1979,6,282.53
1979,7,481.51
1979,8,696.9
1979,9,1469.4
1979,10,1119.83
1979,11,499.22
1979,12,142.65
1980,1,44.41
1980,2,18.06
1980,3,10.91
1980,4,10.5
1980,5,39.86
1980,6,223.52
1980,7,332.64
1980,8,660.44
1980,9,1175.13
1980,10,1220.83
1980,11,493
1980,12,95.99
1981,1,35.55
1981,2,14.52
1981,3,14.11
1981,4,23.01
1981,5,20.96
1981,6,44.75
1981,7,43.19
1981,8,236.39
1981,9,449.97
1981,10,472.18
1981,11,310.69
1981,12,94.35
1982,1,23.66
1982,2,5.71
1982,3,11.29
1982,4,11.86
1982,5,40.14
1982,6,163.12
1982,7,147.74
1982,8,483.41
1982,9,1033.6
1982,10,1327.1
1982,11,552.36
1982,12,114.57
1983,1,33.41
1983,2,14.52
1983,3,8.84
1983,4,21.17
1983,5,74.91
1983,6,95.39
1983,7,31.81
1983,8,337.48
1983,9,899.94
1983,10,864.17
1983,11,777.77
1983,12,386.64
1984,1,82.51
1984,2,23.86
1984,3,7.15
1984,4,3.91
1984,5,13.56
1984,6,126.92
1984,7,204.34
1984,8,600.13
1984,9,1263.95
1984,10,1184.11
1984,11,681.78
1984,12,161.14
1985,1,37.12
1985,2,14
1985,3,4.38
1985,4,4.65
1985,5,107.35
1985,6,101.17
1985,7,27.9
1985,8,331.69
1985,9,825.98
1985,10,958.2763844
1985,11,538.6359841
1985,12,116.99
1986,1,72.06
1986,2,16.43
1986,3,7.66
1986,4,20.57
1986,5,42.95
1986,6,38.78
1986,7,14.13
1986,8,109.36
1986,9,609.29
1986,10,900.12
1986,11,330.74
1986,12,80.18
1987,1,26.36
1987,2,5.56
1987,3,0.9
1987,4,5.051416226
1987,5,36.45
1987,6,36.59
1987,7,429.43
1987,8,813.67
1987,9,996.09
1987,10,1233.36
1987,11,527.66
1987,12,86.7
1988,1,20.72
1988,2,4.17
1988,3,0.25
1988,4,0.36
1988,5,42.54
1988,6,200.62
1988,7,150.75
1988,8,220.34
1988,9,264.85
1988,10,214.23
1988,11,33.75
1988,12,12.94
1989,1,12.83
1989,2,4.142190874
1989,3,2.740381816
1989,4,3.72
1989,5,16.3
1989,6,274.45
1989,7,437.38
1989,8,842.6
1989,9,1297.39
1989,10,1326.13
1989,11,567.3
1989,12,102.19
1990,1,26.65
1990,2,9.35
1990,3,8.47
1990,4,23.71
1990,5,90.21
1990,6,423.07
1990,7,143.35
1990,8,298.34
1990,9,438.02
1990,10,608.73
1990,11,383.81
1990,12,95.76
1991,1,17.85
1991,2,4.52
1991,3,2.39
1991,4,15.41
1991,5,57.05
1991,6,96.71
1991,7,30.06
1991,8,171.59
1991,9,616.17
1991,10,784.57
1991,11,349.58
1991,12,72.61
1992,1,32.88
1992,2,9.2
1992,3,23.5
1992,4,5.88
1992,5,8.27
1992,6,8.26
1992,7,0.17
1992,8,411.04
1992,9,315.68
1992,10,706.96
1992,11,570.26
1992,12,93.62
1993,1,72.69
1993,2,3.33
1993,3,4.063878644
1993,4,5.34365582
1993,5,16.33
1993,6,58.82
1993,7,59.24
1993,8,53.07
1993,9,345.19
1993,10,421.72
1993,11,99.34
1993,12,32.94
1994,1,1.64
1994,2,1.457969767
1994,3,0.21
1994,4,14.69
1994,5,92.18
1994,6,698.65
1994,7,667.13
1994,8,686.68
1994,9,2016.97
1994,10,1019.11
1994,11,315.86
1994,12,97.94
1995,1,17.67
1995,2,2.64
1995,3,10.29
1995,4,9.01
1995,5,48.99
1995,6,35.57
1995,7,30.06
1995,8,685.74
1995,9,2608.65
1995,10,1652.95
1995,11,671.23
1995,12,226.45
1996,1,26.14
1996,2,11.25
1996,3,16.71
1996,4,34.39
1996,5,110.31
1996,6,116.44
1996,7,93.53
1996,8,244.96
1996,9,796.05
1996,10,1638.22
1996,11,863.52
1996,12,245.45
1997,1,25.82
1997,2,5.95
1997,3,24.31
1997,4,38.28
1997,5,18.9
1997,6,14.18
1997,7,33.91
1997,8,243.83
1997,9,598.74
1997,10,735.89
1997,11,376.25
1997,12,43.02
1998,1,10.6398021
1998,2,3.524155775
1998,3,1.388311829
1998,4,1.64
1998,5,10.39
1998,6,8.09
1998,7,207.16
1998,8,198.83
1998,9,448.42
1998,10,465.01
1998,11,89.13
1998,12,30.85
1999,1,12.53194524
1999,2,7.568390135
1999,3,7.959760941
1999,4,12.42
1999,5,83.75
1999,6,206.98
1999,7,157.35
1999,8,271.53
1999,9,642.52
1999,10,861.32
1999,11,842.61
1999,12,596.97
2000,1,61.34
2000,2,24.04
2000,3,35.72
2000,4,24.1
2000,5,215.25
2000,6,423.84
2000,7,395.94
2000,8,443.15
2000,9,728.01
2000,10,827.95
2000,11,679.34
2000,12,169.03
2001,1,40.73
2001,2,39.18
2001,3,135.07
2001,4,22.15
2001,5,253.11
2001,6,452.29
2001,7,365.56
2001,8,761.06
2001,9,1388.3
2001,10,1154.08
2001,11,829.13
2001,12,314.99
2002,1,34.26
2002,2,13.11
2002,3,27.8
2002,4,11.18
2002,5,73.79
2002,6,243.25
2002,7,215.82
2002,8,472.21
2002,9,2446.11
2002,10,2026.3
2002,11,913.58
2002,12,529.99
2003,1,125.68
2003,2,30.1
2003,3,78.92
2003,4,28.24
2003,5,6.77
2003,6,74.87
2003,7,189.57
2003,8,322.18
2003,9,611.29
2003,10,848.43
2003,11,169.29
2003,12,8.69
2004,1,12.03422914
2004,2,19.54
2004,3,7.79
2004,4,14.14689008
2004,5,76.51
2004,6,344.08
2004,7,350.68
2004,8,546.27
2004,9,567.05
2004,10,784.91
2004,11,97.63
2004,12,11.35
2005,1,1.975896979
2005,2,0.1
2005,3,0.24217762
2005,4,1.655951324
2005,5,11.56765595
2005,6,101.83
2005,7,128.66
2005,8,401.12
2005,9,846.34
2005,10,1356.42
2005,11,764.56
2005,12,76.04
2006,1,1.24
2006,2,2.919834156
2006,3,2.32
2006,4,5.84
2006,5,168.17
2006,6,817.95
2006,7,644.25
2006,8,565.75
2006,9,1986
2006,10,3578.82
