year,Q,month
1750,38.3564837973494,1
1751,41.0866933202155,1
1752,42.2738654438034,1
1753,45.654690717574,1
1754,43.1978984551302,1
1755,47.7952582986363,1
1756,45.4557686487756,1
1757,46.7276411683711,1
1758,40.4016104629877,1
1759,39.8676674829109,1
1760,36.4435049928716,1
1761,35.6192705053707,1
1762,42.2912772272865,1
1763,40.8413215121282,1
1764,37.8958370061874,1
1765,40.1126777782683,1
1766,48.7854875762222,1
1767,45.5470284767151,1
1768,39.2668825048589,1
1769,44.0309948363351,1
1770,41.9806212706054,1
1771,50.0821233882071,1
1772,52.2012011867291,1
1773,49.7775065537745,1
1774,47.0707706573142,1
1775,50.150467800498,1
1776,48.5560421326368,1
1777,47.1706851583649,1
1778,51.1424886018786,1
1779,48.0975501011191,1
1780,55.832387439878,1
1781,47.0040710153549,1
1782,42.0147650514761,1
1783,51.3762948274498,1
1784,44.9192279785868,1
1785,47.2011882698414,1
1786,42.6128943943877,1
1787,42.2712594878175,1
1788,53.0613840074269,1
1789,54.5815313114269,1
1790,53.4144446573681,1
1791,46.4692334406389,1
1792,50.3347272806631,1
1793,52.254264388363,1
1794,36.9596265902286,1
1795,48.6515694762541,1
1796,49.5108377660884,1
1797,47.2734684430597,1
1798,52.6035914920643,1
1799,46.4478108929462,1
1800,56.9662311416104,1
1801,47.367983537927,1
1802,44.6957060758582,1
1803,38.806882013867,1
1804,49.2112448661394,1
1805,53.3771134035511,1
1806,54.5875337722751,1
1807,59.4318150232798,1
1808,51.9044045622417,1
1809,44.4277528438248,1
1810,43.4569954105973,1
1811,45.9027846404875,1
1812,44.0781015679893,1
1813,44.4221663665739,1
1814,45.7173760214204,1
1815,50.4504258148552,1
1816,39.3214302301301,1
1817,40.8384449907801,1
1818,42.9403099277644,1
1819,47.1668847644929,1
1820,47.0152156708174,1
1821,39.3764217618466,1
1822,48.9379365382272,1
1823,44.8965297544112,1
1824,42.7000551233956,1
1825,43.51894421713,1
1826,41.7700806338853,1
1827,43.5943498989907,1
1828,49.6205768012392,1
1829,47.4770888984534,1
1830,45.1450762354333,1
1831,43.616752576761,1
1832,40.1909427241353,1
1833,40.8197995936012,1
1834,47.6251314193719,1
1835,46.27684234423,1
1836,35.6587352996728,1
1837,28.5391775876988,1
1838,35.6772833370525,1
1839,43.3917936840872,1
1840,40.1673825847721,1
1841,42.8323245590555,1
1842,48.3266675799234,1
1843,38.4391689351526,1
1844,35.3547865392122,1
1845,41.1559595718935,1
1846,41.8512676507276,1
1847,44.550040728845,1
1848,51.7688622856089,1
1849,51.5549075196208,1
1850,45.974071310682,1
1851,47.3230689047746,1
1852,39.866216616119,1
1853,38.7606200347568,1
1854,47.8912969019474,1
1855,39.3545667706693,1
1856,43.069567453411,1
1857,44.7817411383768,1
1858,46.0865344035264,1
1859,49.9498125235924,1
1860,56.8793005382472,1
1861,56.1668274537814,1
1862,55.3449610621962,1
1863,50.6702987130112,1
1864,40.1216355861687,1
1865,48.583810471856,1
1866,54.0519986290248,1
1867,46.931999109866,1
1868,47.6851325306291,1
1869,50.0692577510062,1
1870,43.3157173405797,1
1871,41.7925267285386,1
1872,42.2452965237418,1
1873,48.4901016537399,1
1874,51.5662217140362,1
1875,50.9342801970972,1
1876,48.721190355926,1
1877,40.4355395664859,1
1878,57.107710433351,1
1879,53.9285714173426,1
1880,35.5466321388786,1
1881,42.1515681410648,1
1882,61.0406480199403,1
1883,58.1646542719916,1
1884,41.4129828763084,1
1885,47.6135856336946,1
1886,48.6069819892802,1
1887,32.4114241271274,1
1888,47.4493473596202,1
1889,39.6047779678237,1
1890,43.0118541245093,1
1891,37.5306482419268,1
1892,38.6155624827053,1
1893,42.0787883502579,1
1894,40.857182276271,1
1895,29.1747935865524,1
1896,42.3612077116145,1
1897,55.1436823932838,1
1898,38.7957859646889,1
1899,30.637899778361,1
1900,39.9401689205296,1
1901,48.7729503529239,1
1902,32.2841712160454,1
1903,42.9275482023692,1
1904,39.2748135578546,1
1905,51.7664376942811,1
1906,46.7581264227763,1
1907,62.5181189103326,1
1908,40.8762494789058,1
1909,43.8816114186325,1
1910,44.2697556779734,1
1911,37.859727163228,1
1912,49.3049242494639,1
1913,45.9396392103705,1
1914,56.0091839538983,1
1915,48.4818795815431,1
1916,49.8925701650048,1
1917,45.7155060281348,1
1918,42.8160436139514,1
1919,52.9840196783993,1
1920,49.3676448271674,1
1921,38.5129217210496,1
1922,50.1082246705623,1
1923,44.6292530370554,1
1924,50.817664093916,1
1925,42.6288881781757,1
1926,39.5961299815119,1
1927,49.3485854874615,1
1928,46.2370355549182,1
1929,42.0246622605959,1
1930,44.1838864977574,1
1931,41.7880614067389,1
1932,37.2913899819995,1
1933,51.7205722837,1
1934,37.5792815703745,1
