season,R2,RE,CE
Jan,0.265587299038288,0.350079551188256,0.0211283833762282
Feb,0.461841615677268,0.535125324788151,0.214774830936308
Mar,0.32207810794463,0.35892888138502,0.137347979278327
Apr,0.359317098322257,0.438777736871948,0.33587723199293
May,0.321518028469054,0.327976621815973,0.214410284392567
Jun,0.434638603634362,0.441798775876449,0.413433277377464
Jul,0.50855561073931,0.552649023745193,0.53576698634325
Aug,0.282468769288053,0.348796782569299,0.126069467816317
Sep,0.304108082670576,0.343236842820245,0.261451536672283
Oct,0.50488592028357,0.448283739874346,0.367698327740571
Nov,0.388917820441725,0.404710554141146,0.289451401656234
Dec,0.337873913977352,0.3527611632802,0.125618734925255
Ann,0.423376764591681,0.48749256377384,0.342424223293187
