season,year,Q,lambda
Ann,1750,1988.19133422938,25
Ann,1751,1807.04238728173,25
Ann,1752,2493.56635070185,25
Ann,1753,2931.54118733563,25
Ann,1754,2548.17707506828,25
Ann,1755,1971.98939644942,25
Ann,1756,2694.01998930796,25
Ann,1757,2238.80745281048,25
Ann,1758,2015.09150433316,25
Ann,1759,1646.19403728866,25
Ann,1760,2352.7515188328,25
Ann,1761,1644.75039733905,25
Ann,1762,1987.44212899452,25
Ann,1763,1757.51865752292,25
Ann,1764,1955.36719395048,25
Ann,1765,2001.98553468811,25
Ann,1766,3052.49736538852,25
Ann,1767,2275.60035258943,25
Ann,1768,2025.50106161746,25
Ann,1769,2007.01264158643,25
Ann,1770,1930.50387840906,25
Ann,1771,2558.28562936651,25
Ann,1772,2827.06474600044,25
Ann,1773,2307.66603230035,25
Ann,1774,2004.75756445111,25
Ann,1775,1928.31327280533,25
Ann,1776,1990.25741026108,25
Ann,1777,1888.687313702,25
Ann,1778,1994.19183618433,25
Ann,1779,2024.20136069565,25
Ann,1780,2600.41552615469,25
Ann,1781,1962.96530022578,25
Ann,1782,1565.3842876674,25
Ann,1783,796.25012168151,25
Ann,1784,1644.41123761928,25
Ann,1785,2443.77934223968,25
Ann,1786,1921.76017553948,25
Ann,1787,2395.66725301184,25
Ann,1788,2480.18846429588,25
Ann,1789,2201.97842617448,25
Ann,1790,1820.82648614867,25
Ann,1791,2163.60897201894,25
Ann,1792,1528.68484634861,25
Ann,1793,1600.79831359557,25
Ann,1794,1709.75089376559,25
Ann,1795,1389.03682077271,25
Ann,1796,2159.26887449825,25
Ann,1797,2417.97377104478,25
Ann,1798,2303.42820001584,25
Ann,1799,2064.25772270481,25
Ann,1800,2491.50479263863,25
Ann,1801,2997.24234022527,25
Ann,1802,1870.26291522002,25
Ann,1803,1214.93504478279,25
Ann,1804,1633.5920903829,25
Ann,1805,1872.83347342491,25
Ann,1806,2428.80230688697,25
Ann,1807,2003.76669409453,25
Ann,1808,2004.58578396409,25
Ann,1809,2439.94580016081,25
Ann,1810,2478.92134042482,25
Ann,1811,2062.15311737471,25
Ann,1812,2267.80850945936,25
Ann,1813,2549.45067594224,25
Ann,1814,2340.99824456048,25
Ann,1815,2473.9850562312,25
Ann,1816,1629.36420735836,25
Ann,1817,1780.86975963942,25
Ann,1818,2570.71400499938,25
Ann,1819,2825.85155361776,25
Ann,1820,2156.86535607525,25
Ann,1821,1738.40759548651,25
Ann,1822,2833.67011577182,25
Ann,1823,2358.04415502235,25
Ann,1824,1701.08834266981,25
Ann,1825,1798.12653107073,25
Ann,1826,1697.33023105579,25
Ann,1827,1898.42616107019,25
Ann,1828,2250.09824850074,25
Ann,1829,2480.71563541585,25
Ann,1830,2400.68311617318,25
Ann,1831,2442.25847157769,25
Ann,1832,1603.53510427568,25
Ann,1833,1463.06823363031,25
Ann,1834,2022.75144759123,25
Ann,1835,1784.61338556192,25
Ann,1836,2213.47481510787,25
Ann,1837,1793.29622246686,25
Ann,1838,1664.18983480999,25
Ann,1839,2375.77455870281,25
Ann,1840,2315.23258996247,25
Ann,1841,1989.25537282463,25
Ann,1842,1691.90873188226,25
Ann,1843,1241.59997320938,25
Ann,1844,2038.03573977305,25
Ann,1845,1689.64045787105,25
Ann,1846,2208.96636413593,25
Ann,1847,2046.98505748307,25
Ann,1848,2160.82007292717,25
Ann,1849,1876.16409014538,25
Ann,1850,1921.73097441371,25
Ann,1851,1650.65066510166,25
Ann,1852,1801.03944215099,25
Ann,1853,1751.59348993232,25
Ann,1854,2227.88887946676,25
Ann,1855,1753.2706947445,25
Ann,1856,2070.22689895583,25
Ann,1857,2169.26622107167,25
Ann,1858,1888.81066425002,25
Ann,1859,1811.82200127648,25
Ann,1860,2191.2168098376,25
Ann,1861,2438.90874885409,25
Ann,1862,2083.71749358777,25
Ann,1863,2083.57262491603,25
Ann,1864,1631.71394215503,25
Ann,1865,2163.57402944557,25
Ann,1866,2557.64813319927,25
Ann,1867,2230.82700966114,25
Ann,1868,2081.13882135402,25
Ann,1869,2062.90214302412,25
Ann,1870,2260.70985491998,25
Ann,1871,2599.44438865136,25
Ann,1872,2264.67459192483,25
Ann,1873,1731.09702441448,25
Ann,1874,2213.38490512765,25
Ann,1875,2209.31353020302,25
Ann,1876,1727.64245780813,25
Ann,1877,1452.74402418881,25
Ann,1878,2568.23639750776,25
Ann,1879,3025.31488239418,25
Ann,1880,2263.58177389218,25
Ann,1881,2032.79289268854,25
Ann,1882,2636.29116261247,25
Ann,1883,2026.11339010955,25
Ann,1884,1766.64856172512,25
Ann,1885,1374.09022491289,25
Ann,1886,2256.12134748403,25
Ann,1887,1760.953539875,25
Ann,1888,1759.95232743826,25
Ann,1889,2243.96841859388,25
Ann,1890,1968.85520339871,25
Ann,1891,1226.47225502092,25
Ann,1892,2489.23478120312,25
Ann,1893,2410.37347064039,25
Ann,1894,2248.37763336012,25
Ann,1895,2123.49841102831,25
Ann,1896,2068.29182513087,25
Ann,1897,1884.07435278092,25
Ann,1898,1767.74636238361,25
Ann,1899,1593.66420320217,25
Ann,1900,2165.03936875044,25
Ann,1901,1914.92206672325,25
Ann,1902,1342.00845033253,25
Ann,1903,2165.1601085311,25
Ann,1904,1934.44873897861,25
Ann,1905,1447.25264166349,25
Ann,1906,1592.62257458869,25
Ann,1907,1914.5924589701,25
Ann,1908,2642.00815580124,25
Ann,1909,2791.03972032348,25
Ann,1910,2534.86195269467,25
Ann,1911,2076.53872593539,25
Ann,1912,1705.2481979088,25
Ann,1913,1499.89154100566,25
Ann,1914,1560.55041171096,25
Ann,1915,1812.22853274414,25
Ann,1916,2502.87564716501,25
Ann,1917,2771.28273292044,25
Ann,1918,2057.96836999131,25
Ann,1919,1453.52016642758,25
Ann,1920,1535.39117730271,25
Ann,1921,2070.8962230951,25
Ann,1922,1657.21075671063,25
Ann,1923,1573.89802830596,25
Ann,1924,1566.05313805991,25
Ann,1925,1606.58562687485,25
Ann,1926,1853.65181379906,25
Ann,1927,2131.52266317356,25
Ann,1928,1749.41585589749,25
Ann,1929,1856.31672042332,25
Ann,1930,1822.15418503084,25
Ann,1931,1372.87437362419,25
Ann,1932,1873.51199911413,25
Ann,1933,2285.79060600928,25
Ann,1934,2461.86475570646,25
Ann,1935,2156.47823335192,25
Ann,1936,1385.4768987023,25
Ann,1937,1750.71991912903,25
Ann,1938,2698.44155394404,25
Ann,1939,2289.55532746127,25
Ann,1940,1926.69122603976,25
Ann,1941,1659.22855157059,25
Ann,1942,2297.45874256404,25
Ann,1943,2049.93310992944,25
Ann,1944,2197.73822285285,25
Ann,1945,2023.43527230508,25
Ann,1946,1734.06864757364,25
Ann,1947,2428.83022769758,25
Ann,1948,1888.07012591691,25
Ann,1949,2172.8167987416,25
Ann,1950,2441.40159475422,25
Ann,1951,2656.57129163493,25
Ann,1952,2210.84531536955,25
Ann,1953,2024.75714328111,25
Ann,1954,2167.3020480669,25
Ann,1955,2060.45024735865,25
Ann,1956,2320.80923201576,25
Ann,1957,1703.45689184285,25
Ann,1958,1631.06574218446,25
Ann,1959,1936.69602154039,25
Ann,1960,1901.48685565259,25
Ann,1961,2271.71972992201,25
Ann,1962,2108.3454914736,25
Ann,1963,1602.60480271033,25
Ann,1964,2660.72603601758,25
Ann,1965,1825.04776626867,25
Ann,1966,1767.97118233774,25
Ann,1967,1859.4270136164,25
Ann,1968,1491.4778571803,25
Ann,1969,1302.83207169903,25
Ann,1970,2453.5090091069,25
Ann,1971,2105.6767279622,25
Ann,1972,1789.74988278644,25
Ann,1973,2852.6314940532,25
Ann,1974,2223.19139255377,25
Ann,1975,2604.83961191883,25
Ann,1976,1915.88059349395,25
Ann,1977,1637.71834426398,25
Ann,1978,2134.61952901075,25
Ann,1979,699.963067988227,25
Ann,1980,1246.61888053123,25
Ann,1981,2114.22307646442,25
Ann,1982,1843.83585312232,25
Ann,1983,1581.10096567166,25
