year,Q,month
1750,72.0044212691613,1
1751,71.4704524594971,1
1752,105.980412829212,1
1753,126.831636100865,1
1754,110.232892713673,1
1755,83.5293831915911,1
1756,99.2843026310684,1
1757,71.9078441203167,1
1758,82.3974166565969,1
1759,76.117180092824,1
1760,93.3192349022093,1
1761,62.3225997366755,1
1762,41.5316726747027,1
1763,55.6365212889911,1
1764,67.1043502460507,1
1765,58.5032069588167,1
1766,96.4348843152401,1
1767,97.1238940773369,1
1768,76.9161924342443,1
1769,69.7983412058322,1
1770,62.680762874299,1
1771,70.6229227034556,1
1772,99.3085581956468,1
1773,82.9724821088048,1
1774,82.3412405065883,1
1775,66.9589018256959,1
1776,45.3426387136449,1
1777,82.8494532973683,1
1778,80.2117857229127,1
1779,57.2241408959391,1
1780,81.1414401195632,1
1781,73.8305554528287,1
1782,55.5062626511209,1
1783,24.3528765353141,1
1784,31.1097685582408,1
1785,80.5593517454883,1
1786,101.959522902256,1
1787,107.995025133021,1
1788,112.552886824483,1
1789,95.1787085238884,1
1790,62.9982397632696,1
1791,75.5466471805674,1
1792,74.4467478512151,1
1793,78.5341718181484,1
1794,77.1708703874359,1
1795,59.8298776943946,1
1796,62.6889769950958,1
1797,99.2085222179018,1
1798,83.3970984834607,1
1799,62.8152274203678,1
1800,87.709892625427,1
1801,108.260582488645,1
1802,112.559818502045,1
1803,59.1939228187538,1
1804,97.3636654663398,1
1805,69.5927547615341,1
1806,93.8564658987398,1
1807,82.9918767675345,1
1808,77.6204008155827,1
1809,66.6678650493171,1
1810,80.9165960778348,1
1811,81.6006589758137,1
1812,83.7764650546136,1
1813,108.999723672305,1
1814,121.780522661371,1
1815,103.784555013426,1
1816,74.5438215645573,1
1817,83.2116982566381,1
1818,107.44858601245,1
1819,124.836867378301,1
1820,75.5319971543132,1
1821,26.7834358924843,1
1822,79.6815704046671,1
1823,91.7878769332233,1
1824,90.218564288864,1
1825,74.9962060330723,1
1826,59.9050487531522,1
1827,55.2320336564831,1
1828,50.4204107018429,1
1829,73.0018785678244,1
1830,73.7119140620073,1
1831,75.5389107294225,1
1832,55.1349575322415,1
1833,24.159648008071,1
1834,30.773185697318,1
1835,46.6924013889341,1
1836,65.6276477222714,1
1837,59.1644337570115,1
1838,61.8582002084443,1
1839,78.7223646352822,1
1840,88.1700004128383,1
1841,52.9204242695571,1
1842,64.5012900104556,1
1843,47.2081121718099,1
1844,51.8911824665862,1
1845,51.5814124176456,1
1846,96.1899865580745,1
1847,76.3980045618602,1
1848,117.458624094725,1
1849,92.7947736032867,1
1850,79.3235000923452,1
1851,79.2495790719522,1
1852,62.2597625706572,1
1853,58.5880134690641,1
1854,82.800456457902,1
1855,61.7735676757143,1
1856,59.7913573140486,1
1857,93.8478181518797,1
1858,107.447607858819,1
