season,year,Q,lambda
Ann,1750,1191.51700202969,10
Ann,1751,1519.98366923021,10
Ann,1752,1213.45080328577,10
Ann,1753,1629.66684808556,10
Ann,1754,2079.43457776262,10
Ann,1755,1680.46660743964,10
Ann,1756,1395.95194446694,10
Ann,1757,1578.80231449247,10
Ann,1758,1538.31329076515,10
Ann,1759,1051.17308253975,10
Ann,1760,1190.03164519048,10
Ann,1761,1389.91909823045,10
Ann,1762,1248.92134190533,10
Ann,1763,1434.55066963343,10
Ann,1764,990.550499941774,10
Ann,1765,1339.5427090263,10
Ann,1766,1215.76357954101,10
Ann,1767,1820.86849434188,10
Ann,1768,1756.22594511302,10
Ann,1769,1592.12325939421,10
Ann,1770,1412.7951955665,10
Ann,1771,938.450692304875,10
Ann,1772,1868.12713442995,10
Ann,1773,1647.55208945843,10
Ann,1774,1479.37912617896,10
Ann,1775,1815.45854570891,10
Ann,1776,1836.42544829128,10
Ann,1777,1438.08675238371,10
Ann,1778,1018.63545285691,10
Ann,1779,1239.34732429513,10
Ann,1780,1233.4752030081,10
Ann,1781,1472.64756646148,10
Ann,1782,857.389922000769,10
Ann,1783,992.956929988904,10
Ann,1784,601.791525042048,10
Ann,1785,1363.21035048435,10
Ann,1786,1797.43516944156,10
Ann,1787,1068.60165971407,10
Ann,1788,1452.44035834252,10
Ann,1789,1324.30768588607,10
Ann,1790,1381.60355740488,10
Ann,1791,1151.251772724,10
Ann,1792,1376.13809352508,10
Ann,1793,1167.63048957808,10
Ann,1794,964.520882158279,10
Ann,1795,1129.17353018969,10
Ann,1796,910.756444875102,10
Ann,1797,1393.76622598913,10
Ann,1798,1468.02259593105,10
Ann,1799,1284.73469893624,10
Ann,1800,1249.52997066144,10
Ann,1801,1684.18957378095,10
Ann,1802,1967.40459124464,10
Ann,1803,1451.99835768173,10
Ann,1804,549.917322643646,10
Ann,1805,842.848693491454,10
Ann,1806,1204.72291457657,10
Ann,1807,1970.47413804981,10
Ann,1808,1714.18443972365,10
Ann,1809,1555.55744898906,10
Ann,1810,1829.28754975531,10
Ann,1811,1735.00928717437,10
Ann,1812,1893.90385822395,10
Ann,1813,1600.84277789562,10
Ann,1814,2223.17462266988,10
Ann,1815,1759.65752380102,10
Ann,1816,1601.65860790665,10
Ann,1817,1121.47270546599,10
Ann,1818,1234.80812108816,10
Ann,1819,2530.55550370998,10
Ann,1820,2444.08966370512,10
Ann,1821,1640.58949527015,10
Ann,1822,1513.22055429492,10
Ann,1823,1611.09323931466,10
Ann,1824,1395.04902493829,10
Ann,1825,744.824186509274,10
Ann,1826,710.346955868974,10
Ann,1827,766.220877775073,10
Ann,1828,975.603922186525,10
Ann,1829,1235.37156296285,10
Ann,1830,1530.56642142534,10
Ann,1831,1882.09054678244,10
Ann,1832,1598.18378401427,10
Ann,1833,878.1487087844,10
Ann,1834,1090.96327649555,10
Ann,1835,1261.96693030028,10
Ann,1836,1288.65421774194,10
Ann,1837,1034.41547430983,10
Ann,1838,769.570375974796,10
Ann,1839,1065.25335063851,10
Ann,1840,1441.85062224182,10
