year,Q,month
1750,13.3161271932653,1
1751,21.825530303342,1
1752,16.1841430271342,1
1753,26.2610336125632,1
1754,39.8187536548259,1
1755,26.973635408147,1
1756,28.4338365066544,1
1757,17.1916155849667,1
1758,17.0046955188541,1
1759,19.7386360428048,1
1760,5.23399758863249,1
1761,7.58496385415513,1
1762,11.080771275805,1
1763,16.6744231022701,1
1764,20.27175054671,1
1765,19.1154974529127,1
1766,1.75031298260467,1
1767,11.4471245766799,1
1768,32.8868168991757,1
1769,17.8443726807685,1
1770,19.7175948128414,1
1771,9.10358559547774,1
1772,12.6599278675032,1
1773,16.5680206917688,1
1774,28.7917309196995,1
1775,11.0746882450311,1
1776,12.2323893587481,1
1777,10.7536274755416,1
1778,6.1453704660594,1
1779,6.47410076966407,1
1780,2.44228141380415,1
1781,16.3904119459131,1
1782,23.4369264405352,1
1783,19.2372722704165,1
1784,18.354695510188,1
1785,10.0612465281805,1
1786,21.5478677270251,1
1787,29.6149368823863,1
1788,23.6582253259588,1
1789,20.3365774796327,1
1790,17.9284874422359,1
1791,26.8722216053738,1
1792,20.6434138333163,1
1793,28.8951336309383,1
1794,25.3404918028102,1
1795,6.85498743011647,1
1796,5.8329187397666,1
1797,2.37505673408756,1
1798,11.9628820508374,1
1799,17.4566093253349,1
1800,6.58934573787986,1
1801,4.63897902682129,1
1802,21.3927481136286,1
1803,17.8617172862575,1
1804,17.7670314100161,1
1805,-0.13287931845344,1
1806,16.1850354960973,1
1807,22.8944190489427,1
1808,19.9485089325908,1
1809,15.8071883459444,1
1810,25.0573563957794,1
1811,39.3968180310572,1
1812,35.348909278446,1
1813,21.4739886425245,1
1814,16.5732795585445,1
1815,25.1471795879475,1
1816,19.6353253360528,1
1817,26.8072534108101,1
1818,19.7865354255932,1
1819,14.0663880132231,1
1820,30.9128887545702,1
1821,36.5374952873668,1
1822,22.9618385494081,1
1823,24.4639230236809,1
1824,27.9613865732933,1
1825,13.488060057803,1
1826,4.00669015668058,1
1827,6.63527993998187,1
1828,13.2440154444846,1
1829,13.4651923209956,1
1830,14.0396299974829,1
1831,21.0145592414118,1
1832,24.4982765022255,1
1833,17.4668027447955,1
1834,11.8151214299773,1
1835,9.93693801823867,1
1836,13.2757149631369,1
1837,30.7503889954483,1
1838,11.6450084758772,1
1839,1.20640816677111,1
1840,7.341940502465,1
1841,3.78287034680011,1
1842,1.29354327248501,1
1843,14.8141579469324,1
1844,28.2140007572088,1
1845,12.3622947517749,1
1846,13.3658535356934,1
1847,12.187134619658,1
1848,2.72165351068814,1
1849,19.7815222343832,1
1850,17.8929068490193,1
1851,24.2670859419227,1
1852,19.8770859907416,1
1853,31.6831574484957,1
1854,20.2049696538216,1
1855,19.5978422330546,1
1856,14.6604807470193,1
1857,17.0811473744535,1
1858,14.7245676347849,1
1859,25.6285909423413,1
1860,9.35700979224424,1
1861,19.42383410364,1
1862,27.6827331294141,1
1863,33.8239749250505,1
1864,35.3015553378196,1
1865,31.3936330400012,1
1866,3.67289455908993,1
1867,7.37819961334482,1
1868,13.6916919105304,1
1869,13.5058148849171,1
1870,13.5291688514529,1
1871,10.6656997683936,1
1872,9.39636428163234,1
1873,13.1214035634247,1
1874,15.0970364189228,1
1875,5.4708110578708,1
1876,28.6742023610489,1
1877,31.4219186286638,1
1878,6.61257834651102,1
1879,-3.14729322437694,1
1880,-6.06922186439009,1
1881,8.91506284043609,1
1882,1.52243462496077,1
1883,10.9620374648645,1
1884,22.6294244179435,1
1885,30.908267526629,1
1886,17.2257715748013,1
1887,8.53628420483138,1
1888,5.94310558847419,1
1889,25.2411467459097,1
1890,1.79096909956631,1
1891,12.9960834684598,1
1892,12.9179924334941,1
1893,-0.632302195404183,1
1894,20.7266061180036,1
1895,21.8692852777099,1
1896,19.0630081997451,1
1897,20.8719826337071,1
1898,15.7634148673586,1
1899,24.4619030075569,1
1900,36.2407305676943,1
1901,43.1411347965777,1
1902,35.910713186725,1
1903,22.6469850476552,1
1904,36.9269060946224,1
1905,7.76487844408732,1
1906,13.0997837710223,1
1907,16.1744030510128,1
1908,-1.34070167870973,1
1909,13.9572244486482,1
1910,22.8389190036541,1
1911,27.9726066944699,1
1912,31.4818451893564,1
1913,11.0874229128515,1
1914,1.65880077109597,1
1915,19.4947312515144,1
1916,0.09374876568749,1
1917,18.4189418700723,1
1918,12.4125426929067,1
1919,19.2767082767243,1
1920,16.3206768681405,1
1921,18.5962956194596,1
1922,12.3621561430395,1
1923,18.1081594611655,1
1924,26.6548644184164,1
1925,20.7750456247945,1
1926,15.6564118458554,1
1927,8.1624796123098,1
1928,13.6063856487135,1
1929,13.4852712310613,1
1930,30.1341836926266,1
1931,26.8065897973829,1
1932,31.4585277582671,1
1933,24.0451087516476,1
1934,24.2772937920416,1
1935,26.8132737828603,1
1936,17.2431047414295,1
1937,17.4728876574798,1
1938,12.5832724413733,1
1939,30.8026871981689,1
1940,32.0916876212209,1
1941,26.7718853566174,1
1942,7.04189402757817,1
1943,-0.299766775466072,1
1944,10.9932582072504,1
1945,18.559775474356,1
