season,R2,RE,CE
Jan,0.615344852105997,0.486354954184327,0.0532701991259903
Feb,0.717092474811538,0.669764420440483,0.559072052196958
Mar,0.629122121246238,0.3761554841226,0.0482715848118284
Apr,0.710788334852451,0.815898385607414,0.674489216268101
May,0.725968954730684,0.572776525622617,0.266562900928859
Jun,0.652524532647092,0.627450437121942,0.629502349247194
Jul,0.762491136590722,0.725366869989332,0.704199107944318
Aug,0.784492516366171,0.651315440577438,0.664183733716186
Sep,0.603869567910644,0.578330626199176,0.420587986531129
Oct,0.801895782962295,0.709589357884035,0.633095613341983
Nov,0.541079287314036,0.600846444496832,0.35909583239643
Dec,0.276526379490185,0.456490846983225,0.304190399929893
Ann,0.782400323007843,0.768056682086294,0.607307966682941
