season,year,Q,lambda
Ann,1750,4006.27350116259,0
Ann,1751,3654.89583153015,0
Ann,1752,3137.67234165027,0
Ann,1753,3312.20889328324,0
Ann,1754,4180.67067343944,0
Ann,1755,4726.49879896481,0
Ann,1756,4003.15021097027,0
Ann,1757,3697.82185077288,0
Ann,1758,4011.52132062526,0
Ann,1759,2783.20599101266,0
Ann,1760,2301.97307468025,0
Ann,1761,3198.64039154094,0
Ann,1762,1113.95390501799,0
Ann,1763,4209.11198590742,0
Ann,1764,5432.55684482751,0
Ann,1765,4986.09418324244,0
Ann,1766,2423.34336003682,0
Ann,1767,3189.7862691238,0
Ann,1768,2354.63849161003,0
Ann,1769,1166.2091681943,0
Ann,1770,3615.48775532369,0
Ann,1771,4147.6263227268,0
Ann,1772,4219.96584655651,0
Ann,1773,3699.60174189125,0
Ann,1774,4891.2313898583,0
Ann,1775,3141.84666525551,0
Ann,1776,2148.5264303165,0
Ann,1777,3238.03820634198,0
Ann,1778,3577.52960282675,0
Ann,1779,2645.70203113075,0
Ann,1780,1430.68872596926,0
Ann,1781,3203.2221634528,0
Ann,1782,4979.16420624593,0
Ann,1783,4329.90772564005,0
Ann,1784,3523.53377506596,0
Ann,1785,1335.41675113826,0
Ann,1786,1473.31644178876,0
Ann,1787,1620.29133357277,0
Ann,1788,3070.37329083536,0
Ann,1789,3139.24117823589,0
Ann,1790,2138.37619897532,0
Ann,1791,3965.52469382679,0
Ann,1792,4008.17457316948,0
Ann,1793,3437.36838406365,0
Ann,1794,3404.37646630658,0
Ann,1795,593.686297659873,0
Ann,1796,2451.07604788568,0
Ann,1797,2298.66888134913,0
Ann,1798,4019.09831704884,0
Ann,1799,6030.1332882085,0
Ann,1800,4387.85804999947,0
Ann,1801,4594.63871996977,0
Ann,1802,3050.79809742079,0
Ann,1803,3228.51882682892,0
Ann,1804,3263.6732478502,0
Ann,1805,1716.53921478144,0
Ann,1806,3763.21947601134,0
Ann,1807,4825.36083660769,0
Ann,1808,3519.91675235775,0
Ann,1809,3537.73438708676,0
Ann,1810,4911.81234143456,0
Ann,1811,5581.90182627902,0
Ann,1812,4683.17805596376,0
Ann,1813,4087.27121098635,0
Ann,1814,4775.768732489,0
Ann,1815,3435.02627282665,0
Ann,1816,3310.35648879752,0
Ann,1817,4151.51591936247,0
Ann,1818,3744.50559274535,0
Ann,1819,4131.2912770117,0
Ann,1820,5116.81456882328,0
Ann,1821,4717.24101128497,0
