season,R2,RE,CE
Jan,0.485340488443012,0.50885009210882,0.403904772720373
Feb,0.59573138879145,0.713699495842645,0.387264676341776
Mar,0.703314563864528,0.39227170177604,-0.126756104318486
Apr,0.741765656219046,0.594514374173791,0.485036062571891
May,0.747426986122848,0.43967515608945,0.148856038308038
Jun,0.617014497875057,0.523042984763151,0.520977567282988
Jul,0.614847923480256,0.483081682044237,0.474302716921577
Aug,0.756542430220876,0.646442028546373,0.622885204308773
Sep,0.791644678276685,0.751475730505222,0.584644967885594
Oct,0.811977043389157,0.734161269519448,0.69792537052294
Nov,0.720914107153131,0.644481203298562,0.558993075233662
Dec,0.8264412976205,0.435280431103365,0.406787604736068
Ann,0.513723823616918,0.566683291425062,0.50626321544532
