station,season,metric,value
p1,Jan,R2,0.44488925190332
p1,Feb,R2,0.541923127805279
p1,Mar,R2,0.343205493053246
p1,Apr,R2,0.503798464952138
p1,May,R2,0.512014007992389
p1,Jun,R2,0.349920264086466
p1,Jul,R2,0.41154332142851
p1,Aug,R2,0.331867204192091
p1,Sep,R2,0.345943576165829
p1,Oct,R2,0.416104787611502
p1,Nov,R2,0.391670543257588
p1,Dec,R2,0.300394457702503
p1,Ann,R2,0.463603453672111
p1,Jan,RE,0.548063032755419
p1,Feb,RE,0.61703931467319
p1,Mar,RE,0.547233990365926
p1,Apr,RE,0.59427562690131
p1,May,RE,0.491552788774185
p1,Jun,RE,0.34500730924059
p1,Jul,RE,0.350020218566022
p1,Aug,RE,0.290137971820661
p1,Sep,RE,0.306222028461342
p1,Oct,RE,0.489307058689581
p1,Nov,RE,0.417970692931648
p1,Dec,RE,0.300259618797881
p1,Ann,RE,0.468769973994928
p1,Jan,CE,0.38928706720565
p1,Feb,CE,-0.283572927204813
p1,Mar,CE,0.0624904792183964
p1,Apr,CE,-0.0249701013693981
p1,May,CE,0.458311130253025
p1,Jun,CE,0.304534497228658
p1,Jul,CE,0.278560316524629
p1,Aug,CE,0.225206946036392
p1,Sep,CE,0.223578755790997
p1,Oct,CE,0.3994877592198
p1,Nov,CE,0.295529230234093
p1,Dec,CE,0.237025251272306
p1,Ann,CE,0.329502598140093
w4,Jan,R2,0.615344852105997
w4,Feb,R2,0.717092474811539
w4,Mar,R2,0.629122121246739
w4,Apr,R2,0.710788334852452
w4,May,R2,0.725968954730684
w4,Jun,R2,0.652524532647111
w4,Jul,R2,0.762491136590718
w4,Aug,R2,0.78449251636617
w4,Sep,R2,0.603869567910644
w4,Oct,R2,0.801895782962295
w4,Nov,R2,0.541079287314036
w4,Dec,R2,0.276526379490186
w4,Ann,R2,0.782400323007849
w4,Jan,RE,0.486354954184328
w4,Feb,RE,0.669764420440483
w4,Mar,RE,0.376155484123866
w4,Apr,RE,0.815898385607414
w4,May,RE,0.572776525622612
w4,Jun,RE,0.62745043712188
w4,Jul,RE,0.725366869989333
w4,Aug,RE,0.651315440577438
w4,Sep,RE,0.578330626199174
w4,Oct,RE,0.709589357884034
w4,Nov,RE,0.600846444496831
w4,Dec,RE,0.456490846983225
w4,Ann,RE,0.768056682086309
w4,Jan,CE,0.053270199125989
w4,Feb,CE,0.559072052196958
w4,Mar,CE,0.0482715848173266
w4,Apr,CE,0.674489216268103
w4,May,CE,0.266562900928851
w4,Jun,CE,0.629502349247168
w4,Jul,CE,0.704199107944307
w4,Aug,CE,0.664183733716186
w4,Sep,CE,0.420587986531125
w4,Oct,CE,0.633095613341981
w4,Nov,CE,0.35909583239643
w4,Dec,CE,0.304190399929893
w4,Ann,CE,0.607307966682973
y17,Jan,R2,0.485340488436727
y17,Feb,R2,0.595731388792678
y17,Mar,R2,0.703314563864253
y17,Apr,R2,0.7417656562197
y17,May,R2,0.747426986122849
y17,Jun,R2,0.617014497875057
y17,Jul,R2,0.614847923480257
y17,Aug,R2,0.756542430220873
y17,Sep,R2,0.791644678276683
y17,Oct,R2,0.8119770433886
y17,Nov,R2,0.72091410715328
y17,Dec,R2,0.826441297620497
y17,Ann,R2,0.513723823616902
y17,Jan,RE,0.508850092101537
y17,Feb,RE,0.713699495846045
y17,Mar,RE,0.392271701776489
y17,Apr,RE,0.594514374177089
y17,May,RE,0.439675156089452
y17,Jun,RE,0.523042984763151
y17,Jul,RE,0.483081682044238
y17,Aug,RE,0.646442028546374
y17,Sep,RE,0.751475730505216
y17,Oct,RE,0.734161269522
y17,Nov,RE,0.644481203295789
y17,Dec,RE,0.435280431103364
y17,Ann,RE,0.566683291424921
y17,Jan,CE,0.403904772710151
y17,Feb,CE,0.387264676346646
y17,Mar,CE,-0.12675610430147
y17,Apr,CE,0.485036062575404
y17,May,CE,0.14885603830804
y17,Jun,CE,0.520977567282988
y17,Jul,CE,0.474302716921576
y17,Aug,CE,0.62288520430877
y17,Sep,CE,0.584644967885599
y17,Oct,CE,0.697925370523692
y17,Nov,CE,0.558993075230256
y17,Dec,CE,0.406787604736073
y17,Ann,CE,0.506263215445122
n1,Jan,R2,0.265587299030274
n1,Feb,R2,0.46184161568195
n1,Mar,R2,0.322078107940204
n1,Apr,R2,0.359317098320103
n1,May,R2,0.321518028473762
n1,Jun,R2,0.43463860362463
n1,Jul,R2,0.50855561074219
n1,Aug,R2,0.282468769287287
n1,Sep,R2,0.304108082671916
n1,Oct,R2,0.50488592028393
n1,Nov,R2,0.388917820456834
n1,Dec,R2,0.33787391396133
n1,Ann,R2,0.423376764591512
n1,Jan,RE,0.350079551180319
n1,Feb,RE,0.535125324773383
n1,Mar,RE,0.358928881366335
n1,Apr,RE,0.438777736866472
n1,May,RE,0.32797662181709
n1,Jun,RE,0.441798775873573
n1,Jul,RE,0.552649023748809
n1,Aug,RE,0.348796782565129
n1,Sep,RE,0.343236842821875
n1,Oct,RE,0.448283739872084
n1,Nov,RE,0.404710554169331
n1,Dec,RE,0.352761163207093
n1,Ann,RE,0.487492563775991
n1,Jan,CE,0.021128383381456
n1,Feb,CE,0.214774830948144
n1,Mar,CE,0.137347979283817
n1,Apr,CE,0.335877231982683
n1,May,CE,0.21441028437958
n1,Jun,CE,0.413433277371165
n1,Jul,CE,0.535766986347822
n1,Aug,CE,0.126069467810044
n1,Sep,CE,0.261451536673698
n1,Oct,CE,0.367698327736433
n1,Nov,CE,0.289451401681151
n1,Dec,CE,0.125618734834306
n1,Ann,CE,0.342424223291945
