station,year,month,Q
p1,1750,Jan,72.0044212691616
p1,1750,Feb,40.4335663571806
p1,1750,Mar,18.0756011314384
p1,1750,Apr,37.8226007563328
p1,1750,May,72.7478785699422
p1,1750,Jun,98.4199503096485
p1,1750,Jul,202.748803567482
p1,1750,Aug,392.744459482892
p1,1750,Sep,421.981075821107
p1,1750,Oct,326.802491249404
p1,1750,Nov,141.646148826721
p1,1750,Dec,149.472424251956
p1,1751,Jan,71.4704524594971
p1,1751,Feb,40.4275233433422
p1,1751,Mar,27.1133477587184
p1,1751,Apr,22.1695246343656
p1,1751,May,52.6009498742656
p1,1751,Jun,96.8627121157275
p1,1751,Jul,149.655134883209
p1,1751,Aug,294.846634466508
p1,1751,Sep,407.051011392417
p1,1751,Oct,290.793840330172
p1,1751,Nov,219.705264099021
p1,1751,Dec,171.282048263921
p1,1752,Jan,105.980412829213
p1,1752,Feb,68.3229036011402
p1,1752,Mar,41.3733412672557
p1,1752,Apr,39.1130797958973
p1,1752,May,122.277066220178
p1,1752,Jun,146.239142675588
p1,1752,Jul,214.66305518137
p1,1752,Aug,503.57361479156
p1,1752,Sep,534.256120388924
p1,1752,Oct,354.628038160648
p1,1752,Nov,229.415922131479
p1,1752,Dec,182.972547719381
p1,1753,Jan,126.831636100864
p1,1753,Feb,64.4303689926613
p1,1753,Mar,24.462663265532
p1,1753,Apr,39.1098529339213
p1,1753,May,118.262653902945
p1,1753,Jun,160.345406748088
p1,1753,Jul,299.035124872545
p1,1753,Aug,565.600679827112
p1,1753,Sep,494.036549809116
p1,1753,Oct,521.869698672482
p1,1753,Nov,213.696578686036
p1,1753,Dec,167.30007272814
p1,1754,Jan,110.232892713673
p1,1754,Feb,71.2612014278045
p1,1754,Mar,36.8398416334652
p1,1754,Apr,54.7729452448829
p1,1754,May,115.367424707387
p1,1754,Jun,125.736338465816
p1,1754,Jul,263.746092524376
p1,1754,Aug,418.092918787618
p1,1754,Sep,528.078520133346
p1,1754,Oct,450.046206444852
p1,1754,Nov,184.373309773143
p1,1754,Dec,146.883300776841
p1,1755,Jan,83.5293831915912
p1,1755,Feb,60.5301572685539
p1,1755,Mar,37.8791665551144
p1,1755,Apr,34.2497410819005
p1,1755,May,64.0439876815118
p1,1755,Jun,72.3261301950057
p1,1755,Jul,139.771800034809
p1,1755,Aug,370.920778175107
p1,1755,Sep,452.98024091269
p1,1755,Oct,335.914878328289
p1,1755,Nov,178.116089620303
p1,1755,Dec,126.755333902848
p1,1756,Jan,99.2843026310683
p1,1756,Feb,72.2295660450521
p1,1756,Mar,33.9710107685515
p1,1756,Apr,48.9996752407188
p1,1756,May,121.721194183953
p1,1756,Jun,193.451548980589
p1,1756,Jul,233.054074663918
p1,1756,Aug,467.557828848741
p1,1756,Sep,660.849967429215
p1,1756,Oct,381.920126878404
p1,1756,Nov,171.114237725898
p1,1756,Dec,136.853176541451
p1,1757,Jan,71.9078441203168
p1,1757,Feb,52.5320564719792
p1,1757,Mar,38.3453677049637
p1,1757,Apr,49.2439238384415
p1,1757,May,86.6403709430083
p1,1757,Jun,136.760363746088
p1,1757,Jul,217.241170119337
p1,1757,Aug,433.789517136404
p1,1757,Sep,393.787870832371
p1,1757,Oct,392.364307913704
p1,1757,Nov,199.584994493205
p1,1757,Dec,141.566881197808
p1,1758,Jan,82.3974166565978
p1,1758,Feb,51.0679754969086
p1,1758,Mar,17.5281599452462
p1,1758,Apr,24.8752854775459
p1,1758,May,79.3408740447254
p1,1758,Jun,87.4143144704586
p1,1758,Jul,130.715238952157
p1,1758,Aug,347.387271475165
p1,1758,Sep,495.31351276453
p1,1758,Oct,297.106753665046
p1,1758,Nov,206.171257410896
p1,1758,Dec,167.230585677838
p1,1759,Jan,76.1171800928238
p1,1759,Feb,41.4679120341689
p1,1759,Mar,8.31023019930368
p1,1759,Apr,26.141662407585
p1,1759,May,32.7346547229437
p1,1759,Jun,75.4099038803057
p1,1759,Jul,114.022643157371
p1,1759,Aug,232.221391855756
p1,1759,Sep,406.65050002286
p1,1759,Oct,273.080755855216
p1,1759,Nov,197.905827117861
p1,1759,Dec,149.515494340259
p1,1760,Jan,93.3192349022095
p1,1760,Feb,45.7802947620214
p1,1760,Mar,17.1221329325664
p1,1760,Apr,28.3147439254649
p1,1760,May,107.754166411024
p1,1760,Jun,148.016651086624
p1,1760,Jul,188.628248008768
p1,1760,Aug,490.768599594095
p1,1760,Sep,449.086477545733
p1,1760,Oct,354.748915233016
p1,1760,Nov,177.485446739109
p1,1760,Dec,133.488902051323
p1,1761,Jan,62.3225997366758
p1,1761,Feb,23.8069126964596
p1,1761,Mar,11.0043499765886
p1,1761,Apr,13.9309319754109
p1,1761,May,93.6241617007004
p1,1761,Jun,96.5397059477692
p1,1761,Jul,100.889760004034
p1,1761,Aug,287.804103534399
p1,1761,Sep,355.499435762865
p1,1761,Oct,305.850951729318
p1,1761,Nov,165.767383154855
p1,1761,Dec,104.593509700654
p1,1762,Jan,41.531672674703
p1,1762,Feb,27.2503032026797
p1,1762,Mar,5.39433932889861
p1,1762,Apr,34.0799748841209
p1,1762,May,94.3904627863988
p1,1762,Jun,107.693244966313
p1,1762,Jul,215.413925510414
p1,1762,Aug,329.481119499002
p1,1762,Sep,505.256344210685
p1,1762,Oct,283.039553865002
p1,1762,Nov,175.283573116589
p1,1762,Dec,124.834261379711
p1,1763,Jan,55.6365212889912
p1,1763,Feb,24.370285881808
p1,1763,Mar,11.0521455511389
p1,1763,Apr,16.4919400076133
p1,1763,May,77.5186951550864
p1,1763,Jun,77.476738184632
p1,1763,Jul,125.098746793686
p1,1763,Aug,329.345501793488
p1,1763,Sep,368.622121539025
p1,1763,Oct,272.700080115609
p1,1763,Nov,194.086269660633
p1,1763,Dec,118.181897491904
p1,1764,Jan,67.1043502460505
p1,1764,Feb,47.7055804682501
p1,1764,Mar,27.3061416727717
p1,1764,Apr,26.2549782305328
p1,1764,May,92.3474838855165
p1,1764,Jun,108.444775442802
p1,1764,Jul,174.235730040592
p1,1764,Aug,405.782457644977
p1,1764,Sep,375.265303827563
p1,1764,Oct,325.593775714573
p1,1764,Nov,141.585413729016
p1,1764,Dec,117.573532963073
p1,1765,Jan,58.503206958817
p1,1765,Feb,23.3428323919707
p1,1765,Mar,27.1525829559058
p1,1765,Apr,12.0831232734428
p1,1765,May,59.7125212663762
p1,1765,Jun,121.649119822188
p1,1765,Jul,118.860940201919
p1,1765,Aug,381.949349556971
p1,1765,Sep,447.393786483465
p1,1765,Oct,315.470768554531
p1,1765,Nov,206.813088925541
p1,1765,Dec,142.704894754755
p1,1766,Jan,96.4348843152402
p1,1766,Feb,59.0356936478856
p1,1766,Mar,38.812124285415
p1,1766,Apr,42.2934149672
p1,1766,May,119.460438251723
p1,1766,Jun,195.119731259104
p1,1766,Jul,278.996265467153
p1,1766,Aug,610.294418642093
p1,1766,Sep,665.523306657752
p1,1766,Oct,436.876029100618
p1,1766,Nov,249.169402976408
p1,1766,Dec,143.830915126623
p1,1767,Jan,97.123894077337
p1,1767,Feb,55.8123185588641
p1,1767,Mar,41.8443548998949
p1,1767,Apr,48.9215228431411
p1,1767,May,104.278319813741
p1,1767,Jun,107.215257636225
p1,1767,Jul,209.110857018213
p1,1767,Aug,355.636241163791
p1,1767,Sep,337.439031436756
p1,1767,Oct,447.532512907332
p1,1767,Nov,220.279226489421
p1,1767,Dec,102.706395503246
p1,1768,Jan,76.9161924342441
p1,1768,Feb,61.0857600769034
p1,1768,Mar,44.6610674156987
p1,1768,Apr,50.7638265239984
p1,1768,May,81.322568278135
p1,1768,Jun,75.447812459178
p1,1768,Jul,203.260595835933
p1,1768,Aug,291.640708645877
p1,1768,Sep,451.003130441287
p1,1768,Oct,349.288779731632
p1,1768,Nov,171.599639044241
p1,1768,Dec,107.768018574313
p1,1769,Jan,69.7983412058324
p1,1769,Feb,47.0143166248771
p1,1769,Mar,53.7832555056679
p1,1769,Apr,35.12370748089
p1,1769,May,47.9600799200626
p1,1769,Jun,84.0995882166374
p1,1769,Jul,162.216842266452
p1,1769,Aug,351.959379569328
p1,1769,Sep,448.359564767397
p1,1769,Oct,321.394575702015
p1,1769,Nov,147.587723057501
p1,1769,Dec,119.322205462671
p1,1770,Jan,62.6807628742997
p1,1770,Feb,47.3651331413517
